name,mult,charge,chi,smi
C5H7O(233),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-2,5H,3-4H2",[O]C1CC=CC1
C5H7O(455),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-3,5H,1,4H2",O=CCC=C[CH2]
S(569),1,0,"InChI=1S/C5H8O2/c1-2-5(7)3-4-6/h2,4-5,7H,1,3H2",OC(CC=O)C=C
C5H7O(191),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2,4-5H,1,3H2",O=C[CH]CC=C
C4H6(1163),1,0,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",C=CC=C
C4H6O(915),1,0,"InChI=1S/C4H6O/c1-2-3-4-5/h3H,2H2,1H3",O=C=CCC
C5H7O(93),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,6H,2,4H2",O[C]1C=CCC1
S(1198),1,0,"InChI=1S/C5H8O2/c6-5(7)3-1-2-4-5/h1,3,6-7H,2,4H2",OC1(CCC=C1)O
S(278),2,0,"InChI=1S/C3H5O2/c1-3(5)2-4/h2,4-5H,1H2",OC(=CO)[CH2]
S(1629),1,0,"InChI=1S/C3H6O2/c1-3(5)2-4/h4-5H,1-2H2",OCC(O)=C
S(1588),1,0,"InChI=1S/C3H6O2/c1-3(5)2-4/h2,4-5H,1H3",OC(C)=CO
C5H9O(162),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h4-6H,1-3H2",OC=CCC[CH2]
S(1777),2,0,"InChI=1S/C5H9O/c6-4-5-2-1-3-5/h4-6H,1-3H2",O[CH]C1CCC1
S(1779),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h4,6H,2-3H2,1H3",O[C]=CCCC
C5H9O(202),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h2,4-6H,3H2,1H3",OC=CC[CH]C
S(1789),2,0,"InChI=1S/C5H9O/c1-4-2-5(4)3-6/h3-6H,2H2,1H3",O[CH]C1CC1C
